Date,temp_airport
2014-04-21,23.7
2014-04-22,25.4
2014-04-23,24.1
2014-04-24,30.1
2014-04-25,21.9
2014-04-26,24.8
2014-04-27,19.1
2014-04-28,22.3
2014-04-29,26.4
2014-04-30,23.9
2014-05-01,19.8
2014-05-02,22.7
2014-05-03,16.1
2014-05-04,20.3
2014-05-05,21
2014-05-06,20.2
2014-05-07,18
2014-05-08,18.2
2014-05-09,20.4
2014-05-10,24.4
2014-05-11,22.3
2014-05-12,20.2
2014-05-13,21.5
2014-05-14,23.2
2014-05-15,23.4
2014-05-16,25.4
2014-05-17,25.7
2014-05-18,24.2
2014-05-19,26.2
2014-05-20,25.6
2014-05-21,21.7
2014-05-22,26.5
2014-05-23,26.5
2014-05-24,25.1
2014-05-25,25.6
2014-05-26,25.1
2014-05-27,25.2
2014-05-28,25.2
2014-05-29,20
2014-05-30,19.1
2014-05-31,21.9
2014-06-01,21.7
2014-06-02,22.5
2014-06-03,20.8
2014-06-04,21
2014-06-05,17.6
2014-06-06,16.4
2014-06-07,17.5
2014-06-08,16.6
2014-06-09,18.5
2014-06-10,18.5
2014-06-11,18.9
2014-06-12,20.9
2014-06-13,21.3
2014-06-14,20.6
2014-06-15,17
2014-06-16,20.5
2014-06-17,18.3
2014-06-18,17.9
2014-06-19,21.2
2014-06-20,22.3
2014-06-21,20.3
2014-06-22,18.5
2014-06-23,18
2014-06-24,17.5
2014-06-25,18.7
2014-06-26,22
2014-06-27,21
2014-06-28,23.2
2014-06-29,17.4
2014-06-30,16.6
2014-07-01,18.1
2014-07-02,18
2014-07-03,17.9
2014-07-04,22.2
2014-07-05,18.2
2014-07-06,18
2014-07-07,19.1
2014-07-08,18.8
2014-07-09,21.7
2014-07-10,17.7
2014-07-11,19.1
2014-07-12,18.5
2014-07-13,14.1
2014-07-14,16
2014-07-15,16.9
2014-07-16,19.4
2014-07-17,20.5
2014-07-18,15.8
2014-07-19,14.3
2014-07-20,14.8
2014-07-21,17
2014-07-22,16.9
2014-07-23,17.2
2014-07-24,19.8
2014-07-25,20.5
2014-07-26,19.6
2014-07-27,18.4
2014-07-28,19.4
2014-07-29,23.9
2014-07-30,25.1
2014-07-31,25.8
2014-08-01,19.8
2014-08-02,13.8
2014-08-03,15.1
2014-08-04,18.8
2014-08-05,18.3
2014-08-06,21.8
2014-08-07,17.8
2014-08-08,16.4
2014-08-09,21.2
2014-08-10,22.9
2014-08-11,13.1
2014-08-12,13.2
2014-08-13,14.4
2014-08-14,16.5
2014-08-15,17.6
2014-08-16,16.8
2014-08-17,17.4
2014-08-18,15.6
2014-08-19,16
2014-08-20,15.3
2014-08-21,17.5
2014-08-22,16.8
2014-08-23,17.2
2014-08-24,19.1
2014-08-25,20.1
2014-08-26,16.4
2014-08-27,17.8
2014-08-28,18.7
2014-08-29,16
2014-08-30,16.3
2014-08-31,19.3
2014-09-01,25.2
2014-09-02,17.8
2014-09-03,15.1
2014-09-04,15.2
2014-09-05,15.8
2014-09-06,17.7
2014-09-07,17.2
2014-09-08,20.8
2014-09-09,24.2
2014-09-10,23.4
2014-09-11,26.5
2014-09-12,16.8
2014-09-13,18.7
2014-09-14,24.2
2014-09-15,21.1
2014-09-16,23.2
2014-09-17,22.4
2014-09-18,18
2014-09-19,20.9
2014-09-20,17.9
2014-09-21,19.1
2014-09-22,20.1
2014-09-23,22.8
2014-09-24,25.7
2014-09-25,24
2014-09-26,18.9
2014-09-27,20.3
2014-09-28,25.2
2014-09-29,33.5
2014-09-30,34.2
2014-10-01,19.9
2014-10-02,24.8
2014-10-03,21.1
2014-10-04,24
2014-10-05,34.4
2014-10-06,27
2014-10-07,25
2014-10-08,20
2014-10-09,22.4
2014-10-10,24.7
2014-10-11,29
2014-10-12,29.3
2014-10-13,25.7
2014-10-14,19.2
2014-10-15,16.4
2014-10-16,22.8
2014-10-17,18.1
2014-10-18,20.8
2014-10-19,25.5
2014-10-20,19.2
2014-10-21,19.8
2014-10-22,23.3
2014-10-23,27.6
2014-10-24,28.1
2014-10-25,25.4
2014-10-26,30.9
2014-10-27,33.2
2014-10-28,29.5
2014-10-29,23.9
2014-10-30,32.9
2014-10-31,31.9
2014-11-01,37
2014-11-02,22.2
2014-11-03,22.7
2014-11-04,24.2
2014-11-05,26
2014-11-06,21.2
2014-11-07,23.5
2014-11-08,25.5
2014-11-09,22.2
2014-11-10,23
2014-11-11,22
2014-11-12,22.6
2014-11-13,25.2
2014-11-14,38
2014-11-15,22
2014-11-16,29
2014-11-17,24.6
2014-11-18,23.8
2014-11-19,25.6
2014-11-20,30.6
2014-11-21,37
